base_name,shape_id,shape_type,label
Ensemble2,Ensemble2.7BRsjSB82dXbHQxhyXmk-1,Hub,Hub
Ensemble2,Ensemble2.7BRsjSB82dXbHQxhyXmk-2,Satellite,Satellite
Ensemble2,Ensemble2.7BRsjSB82dXbHQxhyXmk-3,Link,Link
Ensemble2,Ensemble2.7BRsjSB82dXbHQxhyXmk-7,Hub,Parent
Ensemble2,Ensemble2.7BRsjSB82dXbHQxhyXmk-8,Satellite,other
Ensemble2,Ensemble2.7BRsjSB82dXbHQxhyXmk-9,Link,Link
Ensemble2,Ensemble2.7BRsjSB82dXbHQxhyXmk-10,Hub,Child
Ensemble2,Ensemble2.7BRsjSB82dXbHQxhyXmk-11,Satellite,default
Ensemble2,Ensemble2.7BRsjSB82dXbHQxhyXmk-12,Satellite,default
Ensemble2,Ensemble2.7BRsjSB82dXbHQxhyXmk-15,Hub,Nudel
Ensemble2,Ensemble2.7BRsjSB82dXbHQxhyXmk-16,Satellite,Pasta
Standard Inbound ADAPT,Standard Inbound ADAPT.none,none,none
Standard Inbound,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-15,Hub,Client
Standard Inbound,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-16,Satellite,default
Standard Inbound,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-18,Hub,Fiege Location
Standard Inbound,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-19,Satellite,default
Standard Inbound,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-21,Hub,Advice
Standard Inbound,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-22,Satellite,default
Standard Inbound,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-24,Link,Link
Standard Inbound,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-28,Hub,Advice Line
Standard Inbound,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-29,Satellite,default
Standard Inbound,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-32,Link,Link
Standard Inbound,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-35,Hub,Article
Standard Inbound,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-36,Satellite,default
Standard Inbound,Standard Inbound.CRDZAX5_v3VsPTcbH_Vh-38,Link,Link
Standard Inbound,Standard Inbound.mK-Mi_4KFUAdVltzjD9l-1,Satellite,Process Status
Standard Inbound,Standard Inbound.mK-Mi_4KFUAdVltzjD9l-2,Satellite,Process Status
Standard Inbound,Standard Inbound.mK-Mi_4KFUAdVltzjD9l-6,Reference,Process Status
Standard Inbound,Standard Inbound.XAUylolUDNEYOAg-yCa5-1,Hub,Manufacturer
Standard Inbound,Standard Inbound.XAUylolUDNEYOAg-yCa5-2,Hub,Transport
Standard Inbound,Standard Inbound.XAUylolUDNEYOAg-yCa5-3,Satellite,default
